n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
GoldDaily3|1810.41         1       21   inf  20.90       0 522.50    0    1 |    21/1       0/0       0/0       0/0  
GoldbotOne_8|1900.99       1       21   inf  20.85       0 521.25    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 6|1942.59      5       21  4.54   4.16       6   3.25    0    5 |     0/0       0/0      21/5       0/0  
GoldDaily1|2014.91         1       21   inf  20.77       0 519.25    1    0 |     0/0       0/0       0/0      21/1  
DaytradePro_XAUUSD|183     2       21   inf  10.37       0 259.13    0    2 |     0/0       0/0      21/2       0/0  
Gold Reaper 5|2039.92      3       21   inf   6.89       0 172.17    0    3 |     0/0       0/0      21/3       0/0  
Gold Reaper 5|2034.94      3       21   inf   6.88       0 171.92    0    3 |     0/0       0/0       0/0      21/3  
DaytradePro_XAUUSD|190     1       21   inf  20.58       0 514.50    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily3|1688.00         1       21   inf  20.53       0 513.25    0    1 |     0/0      21/1       0/0       0/0  
goldtrade_H|2195.21        1       20   inf  20.50       0 512.50    1    0 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1859.67      2       20   inf  10.25       0 256.12    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 7|2009.92      1       20   inf  20.38       0 509.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.34       0 508.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 5|1970.82      5       20   inf   4.06       0 169.17    2    3 |     0/0      20/5       0/0       0/0  
goldtrade_E|2450.11        1       20   inf  20.30       0 507.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 6|2051.94      3       20   inf   6.74       0 168.50    0    3 |     0/0       0/0      20/3       0/0  
Gold Reaper 6|1843.65      5       20 39.15   4.04       1  21.49    0    4 |    20/5       0/0       0/0       0/0  
Gold Reaper 6|1621.11      5       20 21.10   4.02       1  14.15    0    4 |     0/0      20/5       0/0       0/0  
Gold Reaper 7|1809.55      2       20   inf  10.04       0 251.00    0    2 |    20/2       0/0       0/0       0/0  
GoldDaily1|1782.36         1       20   inf  20.03       0 500.75    1    0 |    20/1       0/0       0/0       0/0  
Gold Reaper 6|2306.62      4       20   inf   5.01       0 125.19    4    0 |     0/0       0/0       0/0      20/4  
Gold Reaper 6|2032.06      3       20   inf   6.67       0 166.67    0    3 |     0/0       0/0      20/3       0/0  
Gold Reaper 5|1847.34      1       20   inf  19.94       0 498.50    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 5|1788.06      4       20   inf   4.97       0 124.31    2    2 |     0/0      20/4       0/0       0/0  
Gold Reaper 7|1784.55      2       20   inf   9.93       0 248.25    0    2 |     0/0      20/2       0/0       0/0  
GoldbotOne_8|1890.02       1       20   inf  19.79       0 494.75    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1934.42      5       20   inf   3.94       0  98.50    5    0 |     0/0       0/0      20/5       0/0  
GoldbotOne_8|1797.86       1       20   inf  19.60       0 490.00    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1754.31       1       20   inf  19.60       0 490.00    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 5|1845.23      1       19   inf  19.44       0 486.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 6|1963.08      3       19   inf   6.48       0 162.00    0    3 |     0/0       0/0      19/3       0/0  
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
