jeu,mois,net
Gold Reaper 4|1737.77,2021-09,-5.35
Gold Reaper 8|1737.77,2021-09,-3.59
Gold Reaper 3|1737.77,2021-09,0.11
Gold Reaper 7|1737.77,2021-09,1.58
goldtrade_D|1737.77,2021-09,-1.33
GoldDaily1|1737.77,2021-09,-4.28
GoldDaily2|1737.77,2021-09,2.09
GoldbotOne_8|1737.77,2021-09,1.21
GoldDaily3|1737.77,2021-09,0.79
Gold Reaper 8|1728.11,2021-09,0.10
Gold Reaper 7|1728.11,2021-09,-0.09
Gold Reaper 8|1745.54,2021-09,7.33
Gold Reaper 7|1745.54,2021-09,9.53
Gold Reaper 8|1760.86,2021-09,-0.08
Gold Reaper 7|1760.86,2021-09,0.12
Gold Reaper 8|1764.19,2021-10,-4.18
Gold Reaper 8|1747.69,2021-10,-1.32
Gold Reaper 7|1747.69,2021-10,-1.04
Gold Reaper 8|1766.97,2021-10,7.45
Gold Reaper 7|1766.97,2021-10,9.71
goldtrade_D|1770.60,2021-10,11.34
DaytradePro_XAUUSD|1770.60,2021-10,1.13
Gold Reaper 8|1770.60,2021-10,7.42
Gold Reaper 4|1770.60,2021-10,1.29
Gold Reaper 7|1770.60,2021-10,9.74
GoldDaily3|1770.60,2021-10,-2.96
GoldDaily1|1770.60,2021-10,-20.70
GoldbotOne_8|1770.60,2021-10,-2.08
goldtrade_D|1781.37,2021-10,11.08
goldtrade_H|1781.37,2021-10,4.58
Gold Reaper 3|1781.37,2021-10,-0.23
Gold Reaper 8|1781.37,2021-10,7.43
DaytradePro_XAUUSD|1781.37,2021-10,10.23
Gold Reaper 4|1781.37,2021-10,2.90
Gold Reaper 7|1781.37,2021-10,9.71
GoldDaily3|1781.37,2021-10,2.40
GoldDaily1|1781.37,2021-10,-2.18
GoldbotOne_8|1781.37,2021-10,16.05
Gold Reaper 4|1787.19,2021-10,11.00
Gold Reaper 8|1785.13,2021-10,-0.83
Gold Reaper 8|1789.45,2021-10,-0.44
Gold Reaper 7|1789.45,2021-10,17.48
