jeu,mois,net
XAGUSD H2 AGA09|22.444,2022-06,-5.43
XAGUSD H2 AGA04|22.444,2022-06,0.77
XAGUSD H2 AGA06|22.444,2022-06,-5.58
XAGUSD H2 AGA09|21.847,2022-06,-10.29
XAGUSD H2 AGA09|21.435,2022-06,-18.38
XAGUSD H2 AGA04|21.435,2022-06,0.42
XAGUSD H2 AGA06|21.435,2022-06,-18.38
XAGUSD H2 AGA09|21.281,2022-06,-36.06
XAGUSD H2 AGA04|21.281,2022-06,-17.26
XAGUSD H2 AGA06|21.281,2022-06,0.52
XAGUSD H2 AGA09|21.962,2022-06,-7.03
XAGUSD H2 AGA04|21.962,2022-06,-7.03
XAGUSD H2 AGA06|21.962,2022-06,-7.63
XAGUSD H2 AGA09|21.471,2022-06,0.47
XAGUSD H2 AGA09|20.894,2022-06,0.32
XAGUSD H2 AGA04|20.894,2022-06,1.78
XAGUSD H2 AGA06|20.894,2022-06,0.81
XAGUSD H2 AGA09|20.610,2022-06,2.61
XAGUSD H2 AGA04|20.610,2022-06,-1.59
XAGUSD H2 AGA06|20.610,2022-06,-2.24
XAGUSD H2 AGA09|19.384,2022-07,0.52
XAGUSD H2 AGA04|19.384,2022-07,0.52
XAGUSD H2 AGA06|19.384,2022-07,0.52
XAGUSD H2 AGA09|19.014,2022-07,1.41
XAGUSD H2 AGA04|18.917,2022-07,0.52
XAGUSD H2 AGA09|18.917,2022-07,0.57
XAGUSD H2 AGA06|18.917,2022-07,0.57
XAGUSD H2 AGA09|18.741,2022-07,23.47
XAGUSD H2 AGA04|18.741,2022-07,0.42
XAGUSD H2 AGA06|18.741,2022-07,0.37
XAGUSD H2 AGA09|19.016,2022-07,0.57
XAGUSD H2 AGA04|19.016,2022-07,0.52
XAGUSD H2 AGA06|19.016,2022-07,0.57
XAGUSD H2 AGA09|18.582,2022-07,1.09
XAGUSD H2 AGA09|18.945,2022-07,18.10
XAGUSD H2 AGA04|18.945,2022-07,0.47
XAGUSD H2 AGA06|18.945,2022-07,16.20
XAGUSD H2 AGA04|19.095,2022-07,0.52
XAGUSD H2 AGA09|19.095,2022-07,19.85
XAGUSD H2 AGA06|19.095,2022-07,0.37
XAGUSD H2 AGA09|19.408,2022-07,0.47
XAGUSD H2 AGA04|19.408,2022-07,0.52
XAGUSD H2 AGA06|19.408,2022-07,0.52
XAGUSD H2 AGA09|19.483,2022-07,0.47
XAGUSD H2 AGA06|19.483,2022-07,0.42
XAGUSD H2 AGA09|20.201,2022-07,-15.84
XAGUSD H2 AGA04|20.201,2022-07,-15.64
XAGUSD H2 AGA04|19.779,2022-08,3.17
XAGUSD H2 AGA09|20.384,2022-08,1.63
XAGUSD H2 AGA04|20.384,2022-08,2.23
XAGUSD H2 AGA06|20.384,2022-08,1.63
XAGUSD H2 AGA04|20.510,2022-08,10.81
XAGUSD H2 AGA09|20.510,2022-08,9.51
XAGUSD H2 AGA06|20.510,2022-08,9.46
XAGUSD H2 AGA09|20.739,2022-08,0.47
XAGUSD H2 AGA04|20.739,2022-08,0.57
XAGUSD H2 AGA06|20.739,2022-08,0.57
XAGUSD H2 AGA09|20.344,2022-08,0.57
XAGUSD H2 AGA04|20.344,2022-08,0.57
XAGUSD H2 AGA09|20.839,2022-08,-41.39
XAGUSD H2 AGA04|20.839,2022-08,-1.49
XAGUSD H2 AGA06|20.839,2022-08,-43.84
XAGUSD H2 AGA09|20.238,2022-08,-1.12
XAGUSD H2 AGA04|20.238,2022-08,-1.17
XAGUSD H2 AGA06|20.238,2022-08,0.52
XAGUSD H2 AGA04|19.550,2022-08,-2.51
XAGUSD H2 AGA09|19.550,2022-08,-2.71
XAGUSD H2 AGA06|19.550,2022-08,-2.61
XAGUSD H2 AGA09|19.278,2022-08,2.17
XAGUSD H2 AGA04|19.278,2022-08,2.17
XAGUSD H2 AGA06|19.278,2022-08,2.60
XAGUSD H2 AGA09|19.401,2022-08,-22.96
XAGUSD H2 AGA04|18.718,2022-08,-1.06
XAGUSD H2 AGA09|18.718,2022-08,-1.61
XAGUSD H2 AGA06|18.718,2022-08,2.97
XAGUSD H2 AGA09|18.515,2022-08,-3.90
XAGUSD H2 AGA04|18.515,2022-08,-3.40
XAGUSD H2 AGA06|18.515,2022-08,-3.90
XAGUSD H2 AGA09|18.285,2022-09,0.52
XAGUSD H2 AGA04|18.285,2022-09,0.47
XAGUSD H2 AGA06|18.285,2022-09,0.52
XAGUSD H2 AGA09|18.584,2022-09,0.42
XAGUSD H2 AGA04|18.584,2022-09,0.52
XAGUSD H2 AGA06|18.584,2022-09,0.52
XAGUSD H2 AGA04|19.426,2022-09,9.12
XAGUSD H2 AGA09|19.426,2022-09,8.57
XAGUSD H2 AGA06|19.426,2022-09,8.57
XAGUSD H2 AGA09|19.236,2022-09,0.47
XAGUSD H2 AGA09|19.655,2022-09,0.47
XAGUSD H2 AGA04|19.655,2022-09,0.47
XAGUSD H2 AGA06|19.655,2022-09,0.47
XAGUSD H2 AGA09|19.063,2022-09,0.52
XAGUSD H2 AGA04|19.063,2022-09,0.52
XAGUSD H2 AGA06|19.063,2022-09,0.52
XAGUSD H2 AGA04|18.778,2022-09,1.26
XAGUSD H2 AGA09|18.778,2022-09,1.36
XAGUSD H2 AGA06|18.778,2022-09,1.31
XAGUSD H2 AGA09|18.973,2022-09,4.64
XAGUSD H2 AGA04|18.973,2022-09,5.89
XAGUSD H2 AGA06|18.973,2022-09,4.24
XAGUSD H2 AGA04|19.915,2022-10,0.57
XAGUSD H2 AGA09|19.915,2022-10,22.07
