emp_2026_xag.htm — EagleOwl_v1 · XAGUSD.p · 822 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2026
XAGUSD H2 AGA06|56.641     2     -120  0.00 -60.07     120  -1.00    0    2 |  -120/2  
XAGUSD H2 AGA06|73.828     1     -120  0.00 -120.33     120  -1.00    0    1 |  -120/1  
XAGUSD H2 AGA04|56.641     2     -147  0.00 -73.72     147  -1.00    0    2 |  -147/2  
XAGUSD H2 AGA09|56.641     2     -149  0.00 -74.32     149  -1.00    0    2 |  -149/2  
XAGUSD H2 AGA04|62.338     4     -149  0.00 -37.32     149  -1.00    0    4 |  -149/4  
XAGUSD H2 AGA09|62.338     4     -150  0.00 -37.62     150  -1.00    0    4 |  -150/4  
XAGUSD H2 AGA06|62.338     4     -161  0.00 -40.17     161  -1.00    0    4 |  -161/4  
XAGUSD H2 AGA06|71.316     2     -173  0.00 -86.48     173  -1.00    0    2 |  -173/2  
XAGUSD H2 AGA04|71.316     2     -203  0.00 -101.63     203  -1.00    0    2 |  -203/2  
XAGUSD H2 AGA09|71.316     2     -205  0.00 -102.28     205  -1.00    0    2 |  -205/2  
ENSEMBLE                 411     4284  2.12  10.42    1357   3.16  270   70 |  4284/411
csv : C:\Users\User\OneDrive\Documents\forex\outils\parjeu_emp_2026_xag.csv
